text,label
"Government announces new education policy for public schools",REAL
"Scientists discover that drinking water makes humans invisible",FAKE
"India launches a new satellite for weather monitoring",REAL
"Aliens officially elected as presidents of every country",FAKE
"Doctors recommend regular exercise for better health",REAL
"Secret pill allows students to learn an entire book in five minutes",FAKE
"New technology helps improve renewable energy production",REAL
"NASA confirms dragons are living on the moon",FAKE
"Researchers develop new methods for early disease detection",REAL
"World will end tomorrow according to an anonymous internet post",FAKE
"Government opens new public healthcare facilities",REAL
"Magic device can print unlimited money at home",FAKE
"Scientists study the effects of climate change on oceans",REAL
"Humans can survive without sleep for ten years says viral post",FAKE
"Universities introduce new programs in artificial intelligence",REAL
"Researchers publish a study on improving battery efficiency",REAL
"New law makes every citizen a millionaire overnight",FAKE
"Local authorities announce improvements to public transportation",REAL
"Scientists confirm that mobile phones can communicate with ghosts",FAKE
"Healthcare workers conduct vaccination awareness programs",REAL
"Students can pass every examination without studying using a secret sound",FAKE
"Engineers develop improved systems for solar energy storage",REAL
"Government announces a new scheme for rural development",REAL
"Scientists discover a hidden planet made entirely of chocolate",FAKE
"Researchers study methods to reduce plastic pollution",REAL
"Viral message claims that the internet will permanently stop tomorrow",FAKE
"Technology companies invest in artificial intelligence research",REAL
"Drinking a single glass of special water instantly changes eye color",FAKE
"Weather departments issue rainfall forecasts for several regions",REAL
"Anonymous social media account claims gravity will stop working next week",FAKE
"Doctors advise people to maintain a balanced and nutritious diet",REAL
"Scientists announce that humans no longer need food to survive",FAKE
"Universities organize workshops on cybersecurity awareness",REAL
"A new app promises to make users fluent in every language in one minute",FAKE
"Researchers investigate the impact of exercise on mental performance",REAL
"Government departments publish updated guidelines for digital services",REAL
"Scientists claim that trees can send text messages to humans",FAKE
"Engineers test new technology for reducing electricity consumption",REAL
"Viral post claims that ordinary shoes can make people fly",FAKE
"Schools introduce digital learning resources for students",REAL
"Secret government machine can predict the exact future of every person",FAKE
"Researchers develop improved techniques for water purification",REAL
"Scientists study renewable alternatives to fossil fuels",REAL
"Eating one fruit guarantees a person will never become sick again",FAKE
"Public libraries expand access to digital books and educational resources",REAL
"Researchers discover that sleeping for one hour can replace an entire week of rest",FAKE
"Government launches awareness programs for road safety",REAL
"Scientists study the behavior of marine ecosystems",REAL
"A viral video claims that the moon will disappear permanently tonight",FAKE
"Technology experts discuss new methods for protecting online privacy",REAL
"Researchers develop systems to improve agricultural productivity",REAL
"New phone application can read every person's thoughts without permission",FAKE
"Doctors recommend regular health checkups for early detection",REAL
"Scientists announce a machine that creates unlimited gold from air",FAKE
"Educational institutions promote coding and programming skills",REAL
"Researchers study the effects of air pollution on public health",REAL
"Viral message claims that all banks will give free money tomorrow",FAKE
"Engineers develop improved methods for recycling electronic waste",REAL
"Scientists confirm that humans can teleport by closing their eyes",FAKE
"Government announces plans to improve clean drinking water access",REAL
"Researchers publish findings on sustainable farming practices",REAL
"A secret website guarantees instant government jobs for every visitor",FAKE
"Technology companies introduce new tools for online collaboration",REAL
"Scientists discover that reading one sentence can increase intelligence by one hundred percent",FAKE
"Doctors encourage people to follow healthy sleep routines",REAL
"Researchers develop new materials for energy efficient buildings",REAL
"Viral social media post claims that the sun will not rise tomorrow",FAKE
"Public health organizations conduct campaigns about disease prevention",REAL
"Scientists study new methods for detecting harmful bacteria",REAL
"Magic headphones can make users understand every animal language",FAKE
"Universities conduct research on robotics and automation",REAL
"Government supports programs for improving digital literacy",REAL
"Anonymous message claims that all computers will stop working worldwide tonight",FAKE
"Researchers analyze the role of technology in modern education",REAL
"Scientists develop improved methods for monitoring earthquakes",REAL
"Special bracelet guarantees unlimited luck and instant wealth",FAKE
"Doctors recommend drinking sufficient water throughout the day",REAL
"Engineers test electric vehicles designed to reduce emissions",REAL
"Scientists confirm that a person can become invisible by holding their breath",FAKE
"Government launches programs to support small businesses",REAL
"Researchers study the impact of artificial intelligence on employment",REAL
"Viral post claims that a common household spoon can cure every disease",FAKE
"Educational organizations provide online courses for professional development",REAL
"Scientists investigate methods for improving food preservation",REAL
"New device claims to charge a phone forever without electricity",FAKE
"Researchers develop software tools to improve data security",REAL
"Government announces investment in transportation infrastructure",REAL
"Scientists discover that humans can live forever by eating only sugar",FAKE
"Doctors promote regular physical activity for maintaining good health",REAL
"Researchers study the effects of technology on communication habits",REAL
"Viral article claims that every smartphone secretly controls the weather",FAKE
"Engineers develop advanced sensors for environmental monitoring",REAL
"Universities encourage students to participate in innovation programs",REAL
"Scientists announce that a newly discovered sound can reverse aging instantly",FAKE
"Government agencies release official information about emergency preparedness",REAL
"Researchers work on technologies for improving internet connectivity",REAL
"Secret formula promises to double a person's height in one day",FAKE
"Scientists conduct research on improving renewable energy systems",REAL
"Doctors advise consulting qualified professionals for serious health concerns",REAL
"A viral post claims that touching a computer screen can charge the human body with electricity forever",FAKE
